"","make","model","Price","city08","highway08","cylinders","displ","drive","fuelCost08","fuelType1","ecoFriendly","ghgScore"
"29106","Hyundai","Santa Fe Sport FWD",45149,20,28,4,2,"Front-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29107","Hyundai","Santa Fe Sport FWD",39574,20,28,4,2,"Front-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29108","Hyundai","Santa Fe Sport Ultimate FWD",31074,20,27,4,2,"Front-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29109","Hyundai","Santa Fe Sport Ultimate FWD",68722,20,27,4,2,"Front-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29110","Hyundai","Santa Fe Sport AWD",56713,19,26,4,2,"All-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29111","Hyundai","Santa Fe Sport AWD",42265,19,26,4,2,"All-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29112","Hyundai","Santa Fe Sport Ultimate AWD",22463,19,24,4,2,"All-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29113","Hyundai","Santa Fe Sport Ultimate AWD",57503,19,24,4,2,"All-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29114","Audi","Q7",56690,19,25,6,3,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29115","Audi","Q7",54361,19,25,6,3,"All-Wheel Drive",2300,"Premium Gasoline","It's a monster!",4
"29122","Hyundai","Elantra SE",58806,29,38,4,2,"Front-Wheel Drive",1200,"Regular Gasoline","Green Car",8
"29123","Hyundai","Elantra SE",53772,29,38,4,2,"Front-Wheel Drive",1200,"Regular Gasoline","Green Car",8
"29124","Hyundai","Elantra SE",53522,29,38,4,2,"Front-Wheel Drive",1200,"Regular Gasoline","Nature Lover",8
"29125","Hyundai","Elantra SE",49707,29,38,4,2,"Front-Wheel Drive",1200,"Regular Gasoline","Nature Lover",8
"29126","Hyundai","Elantra",27079,28,37,4,2,"Front-Wheel Drive",1250,"Regular Gasoline","Kinda Green",7
"29127","Hyundai","Elantra",27524,28,37,4,2,"Front-Wheel Drive",1250,"Regular Gasoline","Kinda Green",7
"29128","Hyundai","Elantra",41288,28,37,4,2,"Front-Wheel Drive",1250,"Regular Gasoline","Kinda Green",7
"29129","Hyundai","Elantra",52873,28,37,4,2,"Front-Wheel Drive",1250,"Regular Gasoline","Kinda Green",7
"29130","Hyundai","Elantra",61177,26,36,4,2,"Front-Wheel Drive",1400,"Regular Gasoline","Kinda Green",7
"29131","Hyundai","Elantra",21397,26,36,4,2,"Front-Wheel Drive",1400,"Regular Gasoline","Kinda Green",7
"29132","Hyundai","Santa Fe FWD",38191,18,25,6,3.3,"Front-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29133","Hyundai","Santa Fe FWD",34033,18,25,6,3.3,"Front-Wheel Drive",1900,"Regular Gasoline","It's a monster!",4
"29134","Hyundai","Santa Fe Ultimate FWD",58877,17,23,6,3.3,"Front-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29135","Hyundai","Santa Fe Ultimate FWD",33482,17,23,6,3.3,"Front-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29136","Hyundai","Santa Fe AWD",63342,18,24,6,3.3,"All-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29137","Hyundai","Santa Fe AWD",52518,18,24,6,3.3,"All-Wheel Drive",2000,"Regular Gasoline","It's a monster!",4
"29138","Hyundai","Santa Fe Ultimate AWD",50889,17,22,6,3.3,"All-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29139","Hyundai","Santa Fe Ultimate AWD",42479,17,22,6,3.3,"All-Wheel Drive",2100,"Regular Gasoline","It's a monster!",4
"29158","Hyundai","Santa Fe Sport FWD",39369,21,27,4,2.4,"Front-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29159","Hyundai","Santa Fe Sport FWD",22893,21,27,4,2.4,"Front-Wheel Drive",1700,"Regular Gasoline","Kinda Green",5
"29160","Hyundai","Santa Fe Sport AWD",25748,20,26,4,2.4,"All-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29161","Hyundai","Santa Fe Sport AWD",61915,20,26,4,2.4,"All-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29194","Kia","Sportage FWD",69071,22,29,4,2.4,"Front-Wheel Drive",1600,"Regular Gasoline","Kinda Green",5
"29195","Kia","Sportage FWD",61640,22,29,4,2.4,"Front-Wheel Drive",1600,"Regular Gasoline","Kinda Green",5
"29196","Kia","Sportage FWD",26504,22,29,4,2.4,"Front-Wheel Drive",1600,"Regular Gasoline","Kinda Green",5
"29197","Kia","Sportage FWD",25960,22,29,4,2.4,"Front-Wheel Drive",1600,"Regular Gasoline","Kinda Green",5
"29198","Kia","Sportage FE FWD",39528,23,30,4,2.4,"Front-Wheel Drive",1550,"Regular Gasoline","Kinda Green",6
"29199","Kia","Sportage FE FWD",52737,23,30,4,2.4,"Front-Wheel Drive",1550,"Regular Gasoline","Kinda Green",6
"29200","Kia","Sportage FE FWD",35112,23,30,4,2.4,"Front-Wheel Drive",1550,"Regular Gasoline","Kinda Green",6
"29201","Kia","Sportage FE FWD",38054,23,30,4,2.4,"Front-Wheel Drive",1550,"Regular Gasoline","Kinda Green",6
"29202","Kia","Sportage FWD",37550,21,26,4,2,"Front-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29203","Kia","Sportage FWD",31147,21,26,4,2,"Front-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29204","Kia","Sportage AWD",63931,21,25,4,2.4,"All-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29205","Kia","Sportage AWD",47744,21,25,4,2.4,"All-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29206","Kia","Sportage AWD",65644,21,25,4,2.4,"All-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29207","Kia","Sportage AWD",34026,21,25,4,2.4,"All-Wheel Drive",1750,"Regular Gasoline","Kinda Green",5
"29208","Kia","Sportage FE AWD",49286,21,25,4,2.4,"All-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
"29209","Kia","Sportage FE AWD",31510,21,25,4,2.4,"All-Wheel Drive",1850,"Regular Gasoline","Kinda Green",5
